UA,mun,uf,lon_pc,lat_pc,Biomassa_Mg_ha,bio_Mg_ha_10,bio_Mg_ha_5,n_arvores_total,n_arvores_10,n_arvores_5,n_subunidades,n_subparcelas_5,area_ha_10,area_ha_5,dap_medio_10,ht_media_10,flag_subunidades_incompletas,flag_poucas_arvores,flag_biomassa_extrema
BA_948,São Domingos,Goiás,-46.26,-13.32,57.89332443870096,57.89332443870096,0.0,62.0,62,0.0,1,0.0,0.1,0.0,15.753696878207629,9.733870967741936,True,False,False
GO_1,São Miguel do Araguaia,Goiás,-50.3999999999,-12.7799999999,9.410070269063873,9.410070269063873,0.0,5.0,5,0.0,1,0.0,0.1,0.0,19.575354940013376,7.62,True,True,False
GO_10,São Miguel do Araguaia,Goiás,-50.3999999999,-13.1399999999,1.882126993171687,1.882126993171687,0.0,3.0,3,0.0,1,0.0,0.1,0.0,15.266666666666666,5.8999999999999995,True,True,False
GO_105,Mara Rosa,Goiás,-49.6799999999,-13.8599999999,30.46288729254742,25.657528478667725,4.805358813879696,74.0,58,16.0,2,4.0,0.2,0.04,16.286604597029516,8.320689655172414,True,False,False
GO_106,Amaralina,Goiás,-49.4999999999,-13.8599999999,9.129800825586964,9.129800825586964,0.0,11.0,11,0.0,2,0.0,0.2,0.0,20.298573536166334,8.045454545454545,True,False,False
GO_107,Mutunópolis,Goiás,-49.3199999999,-13.8599999999,72.56391852414184,66.53681991053551,6.027098613606326,188.0,155,33.0,4,8.0,0.4,0.08,17.78285957073324,10.957419354838711,False,False,False
GO_108,Estrela do Norte,Goiás,-49.1399999999,-13.8599999999,32.439903452140435,24.348688884893793,8.091214567246642,78.0,42,36.0,3,6.0,0.3,0.06,17.505309653367526,7.733333333333333,True,False,False
GO_109,Formoso,Goiás,-48.9599999999,-13.8599999999,27.476492037801748,16.07074703942525,11.405744998376496,120.0,78,42.0,4,3.0,0.4,0.03,15.851913798592424,6.610256410256411,False,False,False
GO_11,São Miguel do Araguaia,Goiás,-50.2199999999,-13.1399999999,20.673584840302173,20.673584840302173,0.0,8.0,8,0.0,2,0.0,0.2,0.0,27.850854564726138,9.25,True,True,False
GO_110,Campinorte,Goiás,-48.7799999999,-13.8599999999,30.615350550133073,24.484529391653844,6.130821158479229,154.0,120,34.0,4,6.0,0.4,0.06,16.049550494993877,6.760833333333333,False,False,False
GO_111,Campinaçu,Goiás,-48.5999999999,-13.8599999999,33.24920406298579,26.16845732239499,7.080746740590802,174.0,121,53.0,4,8.0,0.4,0.08,15.254846922973607,7.0380165289256205,False,False,False
GO_112,Campinaçu,Goiás,-48.4199999999,-13.8599999999,11.307544127808278,11.307544127808278,0.0,28.0,28,0.0,4,0.0,0.4,0.0,19.158377640629023,9.282142857142857,False,False,False
GO_114,Colinas do Sul,Goiás,-48.0599999999,-13.8599999999,52.75718080158048,49.21575154400577,3.5414292575747135,67.0,62,5.0,2,2.0,0.2,0.02,16.987656907683622,9.832258064516129,True,False,False
GO_116,Cavalcante,Goiás,-47.6999999999,-13.8599999999,45.2405148858207,37.100045990867144,8.140468894953555,169.0,114,55.0,4,8.0,0.4,0.08,15.646841958524693,9.762280701754387,False,False,False
GO_116_Q147,Cavalcante,Goiás,-47.64375,-13.995,105.82239615156602,100.77286980668842,5.049526344877607,242.0,216,26.0,4,8.0,0.4,0.08,18.08268692614741,11.350925925925926,False,False,False
GO_116_Q154,Cavalcante,Goiás,-47.68875,-14.00625,66.32218230166328,63.2262795890385,3.095902712624782,113.0,98,15.0,4,6.0,0.4,0.06,22.23880138140924,9.754081632653062,False,False,False
GO_116_Q188,Cavalcante,Goiás,-47.57625,-14.02875,135.49799948158952,119.29527126075467,16.20272822083484,309.0,224,85.0,4,8.0,0.4,0.08,18.624935892212306,11.302678571428572,False,False,False
GO_116_R380,Cavalcante,Goiás,-47.581875,-13.93875,111.80289375441562,107.47011563495386,4.3327781194617625,185.0,156,29.0,4,7.0,0.4,0.07,20.432244641031293,11.285897435897436,False,False,False
GO_116_R427,Cavalcante,Goiás,-47.593125,-13.95,76.57646466280013,69.83526722226382,6.741197440536318,166.0,139,27.0,4,6.0,0.4,0.06,18.431692099529734,9.185611510791366,False,False,False
GO_116_R432,Cavalcante,Goiás,-47.536875,-13.95,55.80402583624173,51.41858334455865,4.385442491683077,96.0,79,17.0,3,5.0,0.3,0.05,18.00502205167528,9.765822784810126,True,False,False
GO_116_R497,Cavalcante,Goiás,-47.615625,-13.966875,111.53364202747954,105.07136187921564,6.462280148263894,215.0,197,18.0,4,5.0,0.4,0.05,18.82385506640742,11.633502538071067,False,False,False
GO_116_R541,Cavalcante,Goiás,-47.638125,-13.978125,65.61460153598807,52.760829657906854,12.853771878081211,242.0,191,51.0,4,7.0,0.4,0.07,14.956878822139265,10.635602094240838,False,False,False
GO_116_R553,Cavalcante,Goiás,-47.570625,-13.978125,376.84159920335946,366.62695843761446,10.214640765744976,252.0,234,18.0,2,4.0,0.2,0.04,20.459688123494665,16.694017094017095,True,False,True
GO_116_R606,Cavalcante,Goiás,-47.5425,-13.989375,4.84492596667114,2.5808391132952453,2.264086853375895,36.0,19,17.0,3,5.0,0.3,0.05,13.959944630632116,4.621052631578947,True,False,False
GO_116_R662,Cavalcante,Goiás,-47.649375,-14.00625,158.34525445931303,153.2014993832691,5.143755076043931,195.0,178,17.0,4,6.0,0.4,0.06,21.070478623780204,14.184269662921348,False,False,False
GO_116_R663,Cavalcante,Goiás,-47.638125,-14.00625,61.54611907037261,57.60042281245245,3.9456962579201607,58.0,48,10.0,1,2.0,0.1,0.02,17.67790857242677,8.114583333333334,True,False,False
GO_116_R682,Cavalcante,Goiás,-47.655,-14.011875,161.84958763278402,154.42121341166973,7.428374221114289,232.0,203,29.0,4,7.0,0.4,0.07,20.846305334245574,12.784313725490197,False,False,False
GO_116_R707,Cavalcante,Goiás,-47.683125,-14.0175,126.07716782939133,120.82484339621563,5.2523244331757,147.0,128,19.0,4,6.0,0.4,0.06,23.771743546663416,12.3390625,False,False,False
GO_116_R723,Cavalcante,Goiás,-47.694375,-14.023125,93.0514656301418,81.60153897379236,11.449926656349447,211.0,160,51.0,4,6.0,0.4,0.06,19.020245109621275,10.278881987577641,False,False,False
GO_116_R742,Cavalcante,Goiás,-47.5875,-14.023125,91.95096939830485,82.43354912780043,9.517420270504417,172.0,149,23.0,3,4.0,0.3,0.04,17.77342992770101,11.37986577181208,True,False,False
GO_117,Cavalcante,Goiás,-47.5199999999,-13.8599999999,7.453929516566463,4.285875420703842,3.1680540958626207,63.0,39,24.0,4,6.0,0.4,0.06,14.224675479703288,5.341025641025642,False,False,False
GO_117_R102,Cavalcante,Goiás,-47.4975,-13.876875,7.449139522520049,6.9357741659219325,0.5133653565981169,19.0,17,2.0,1,2.0,0.1,0.02,14.121179441470403,5.588235294117647,True,False,False
GO_117_R241,Cavalcante,Goiás,-47.525625,-13.910625,24.44787481346064,20.865653213310004,3.582221600150637,103.0,83,20.0,4,6.0,0.4,0.06,17.031701431058764,6.725301204819278,False,False,False
GO_117_R54,Cavalcante,Goiás,-47.4975,-13.865625,105.79807721200073,96.82014526479999,8.977931947200748,246.0,205,41.0,4,8.0,0.4,0.08,18.54664690761826,11.800485436893204,False,False,False
GO_118,Cavalcante,Goiás,-47.3399999999,-13.8599999999,15.048798035682431,10.046205351254446,5.0025926844279835,37.0,25,12.0,1,2.0,0.1,0.02,13.58999937568667,5.856,True,False,False
GO_119,Nova Roma,Goiás,-47.1599999999,-13.8599999999,18.289247117919015,14.3746700068066,3.914577111112414,109.0,70,39.0,4,8.0,0.4,0.08,15.057440572687588,6.7942857142857145,False,False,False
GO_121,Iaciara,Goiás,-46.7999999999,-13.8599999999,0.46755563750864204,0.46755563750864204,0.0,1.0,1,0.0,1,0.0,0.1,0.0,13.8,5.5,True,True,True
GO_123,Guarani de Goiás,Goiás,-46.4399999999,-13.8599999999,10.349914389013666,10.349914389013666,0.0,18.0,18,0.0,4,0.0,0.4,0.0,21.851086617675726,9.483333333333333,False,False,False
GO_124,Guarani de Goiás,Goiás,-46.2599999999,-13.8599999999,54.10261533024398,47.86348936538863,6.239125964855347,74.0,65,9.0,3,3.0,0.3,0.03,19.950906813786585,13.663076923076924,True,False,False
GO_13,São Miguel do Araguaia,Goiás,-49.8599999999,-13.1399999999,41.17535111398108,29.44296143488133,11.732389679099748,214.0,150,64.0,4,6.0,0.4,0.06,15.210536994456948,7.886666666666667,False,False,False
