system:index,B11_seca,B12_seca,B2_seca,B3_seca,B4_seca,B8_seca,Biomassa_M,EVI_seca,HV_dB,MSI_seca,NBR_seca,NDVI_RE_seca,NDVI_seca,NDWI_seca,UA,VH_dB,VV_dB,area_ha_10,area_ha_5,bio_Mg_h_1,bio_Mg_ha_,canopy_height,canopy_height_sd,clay_pct,dap_medio_,elevation,flag_bioma,flag_pouca,flag_subun,ht_media_1,lat_pc,lon_pc,mapbiomas_2018,mun,n_arvore_1,n_arvore_2,n_arvores_,n_subparce,n_subunida,slope,uf,.geo
00000000000000000297,0.3461581558253675,0.22583912003517748,0.048647899521533255,0.07547101587565458,0.1109103838267908,0.22922740501915376,1.424114183873623,0.194759826087043,-6.308390436637118,1.509651049017956,0.009284541014529156,0.352794566164816,0.352794566164816,-0.5068834252689345,GO_104,-20.078750780355243,-13.77036036365196,0.0,0.05,1.424114183873623,0.0,0.3714388934764658,0.026269611890999182,24.0,0.0,305.2324009083403,false,false,true,0.0,-13.86006575,-49.86017627,15.0,Amaralina,0,14.0,14.0,5.0,0,2.1991982254746483,GO,"{""type"":""Polygon"",""coordinates"":[[[-49.860174180778905,-13.859617792591372],[-49.86030362465522,-13.859635700300608],[-49.86042276485494,-13.859687997982569],[-49.86052211785671,-13.859770522763014],[-49.860593775170614,-13.85987670569739],[-49.86063203285118,-13.85999809465006],[-49.86063384553871,-13.86012502707624],[-49.860599068885,-13.860247399155583],[-49.86053047106162,-13.860355470056064],[-49.86043351242912,-13.860440637308725],[-49.860315910900454,-13.860496121572085],[-49.86018702759332,-13.860517506276528],[-49.86005712167398,-13.860503089190182],[-49.85993653371041,-13.860454017919507],[-49.8598348625454,-13.860374198557833],[-49.85976020121586,-13.86026998475402],[-49.85971849274336,-13.860149671953394],[-49.85971305707587,-13.860022837071998],[-49.859744326834424,-13.859899576168736],[-49.85980981289459,-13.859789700798364],[-49.859904302536926,-13.859701957015833],[-49.8600202743885,-13.859643329197946],[-49.86014849712337,-13.859618484095828],[-49.860174180778905,-13.859617792591372]]]}"
00000000000000000000,,,,,,,57.89332443870096,,,,,,,,BA_948,,,0.1,0.0,0.0,57.89332443870096,,,,15.753696878207629,,false,false,true,9.733870967741936,-13.32,-46.26,,São Domingos,62,0.0,62.0,0.0,1,,Goiás,"{""type"":""Polygon"",""coordinates"":[[[-46.259998549550936,-13.319549309402221],[-46.2601276988135,-13.319567217112834],[-46.26024656784835,-13.31961951479849],[-46.2603456947172,-13.3197020395838],[-46.260417188929914,-13.319808222522687],[-46.2604553595249,-13.319929611478114],[-46.260457168076506,-13.32005654390443],[-46.260422470568244,-13.32017891598125],[-46.260354028873834,-13.320286986877335],[-46.260257290927086,-13.320372154125094],[-46.26013995707411,-13.320427638384583],[-46.260011367124086,-13.320449023087392],[-46.25988175688971,-13.320434606002157],[-46.259761443400016,-13.320385534734992],[-46.25966000364791,-13.320305715378133],[-46.259585512249345,-13.320201501578937],[-46.25954389870024,-13.320081188781288],[-46.25953847539463,-13.319954353900298],[-46.25956967397202,-13.31983109299475],[-46.25963501097621,-13.319721217620112],[-46.25972928555386,-13.319633473832658],[-46.259844993451075,-13.31957484601074],[-46.25997292435123,-13.319550000906728],[-46.259998549550936,-13.319549309402221]]]}"
00000000000000000178,0.24773501178145516,0.1436017982583913,0.04155214033027465,0.0695201039020361,0.08049987066025208,0.2539648097322407,8.880927817966171,0.3055982684843506,-5.46139365711376,0.982507786845954,0.27828827533932954,0.5252063524965269,0.5252063524965269,-0.5734044554860106,GO_50,-17.857406136661954,-12.396012470599183,0.1,0.0,0.0,8.880927817966171,0.04518664047151278,2.459414745114259,20.0,17.072727272727274,238.47683796918625,false,false,true,6.3,-13.4999999999,-50.2199999999,15.0,São Miguel do Araguaia,11,0.0,11.0,0.0,1,3.3017097547436154,Goiás,"{""type"":""Polygon"",""coordinates"":[[[-50.22000134028672,-13.499549841626669],[-50.22013058631704,-13.499567749336823],[-50.22024954441774,-13.499620047021248],[-50.22034874556142,-13.49970257180494],[-50.220420293345796,-13.499808754742325],[-50.22045849254463,-13.499930143696837],[-50.220460302454754,-13.500057076123106],[-50.22042557895068,-13.500179448200768],[-50.220357085974726,-13.500287519098315],[-50.220260275542294,-13.500372686347706],[-50.22014285376946,-13.500428170608481],[-50.220014167464356,-13.500449555311835],[-50.21988446011029,-13.500435138226232],[-50.21976405646783,-13.5003860669579],[-50.21966254070664,-13.500306247599434],[-50.21958799349316,-13.500202033798706],[-50.21954634876588,-13.500081721000063],[-50.21954092139997,-13.49995488611894],[-50.219572143357304,-13.499831625214153],[-50.21963752931992,-13.499721749840933],[-50.21973187453697,-13.49963400605512],[-50.21984766913169,-13.499575378234542],[-50.219975695886816,-13.49955053313116],[-50.22000134028672,-13.499549841626669]]]}"
00000000000000000220,0.18087782183726725,0.10385711737396147,0.027459411875792986,0.056750366254452,0.05937000910594193,0.24846690628492932,32.98818747864535,0.3362635825245563,-6.790633300127958,0.8037043779966438,0.38135909640848964,0.5867183911588941,0.5867183911588941,-0.6142710831673863,GO_729,-19.17978930725132,-12.389156078712787,0.1,0.0,0.0,32.98818747864535,0.01606953357926121,3.6559388237883033,37.376370711001066,20.459885025881764,480.750871696397,false,false,true,8.225,-17.8199999999,-50.3999999999,30.08893829905504,Turvelândia,16,0.0,16.0,0.0,1,2.387744172471573,Goiás,"{""type"":""Polygon"",""coordinates"":[[[-50.40000187251117,-17.81954923771031],[-50.40013388079657,-17.81956714540924],[-50.40025538129682,-17.81961944306352],[-50.400356702623284,-17.819701967807546],[-50.40042977961038,-17.819808150708116],[-50.40046879529898,-17.81992953964016],[-50.40047064397608,-17.82005647206531],[-50.400435178409545,-17.820178844163568],[-50.400365221591976,-17.82028691509698],[-50.40026634205122,-17.820372082386328],[-50.400146410606446,-17.82042756667867],[-50.40001497384854,-17.820448951395356],[-50.39988249421649,-17.8204345343007],[-50.39975951716448,-17.820385463003728],[-50.39965583172017,-17.820305643606],[-50.39957969126113,-17.82020142976763],[-50.39953715654095,-17.82008111694471],[-50.399531613261665,-17.819954282060248],[-50.39956350259109,-17.819831021174107],[-50.399630286070035,-17.819721145835704],[-50.399726647694926,-17.819633402090002],[-50.39984491708391,-17.819574774302318],[-50.399975680038025,-17.81954992921435],[-50.40000187251117,-17.81954923771031]]]}"
00000000000000000099,0.19771117473422276,0.11936981946935903,0.03265548781606431,0.051078988856796625,0.05351551804578804,0.19136574434144335,3.404495176690734,0.2713357426620855,-6.977015117648008,1.0398473300942903,0.22962572002443354,0.5631520747219596,0.5631520747219596,-0.5782907444130546,GO_249,-16.822684104993517,-9.845669046867469,0.1,0.01,0.641103386590209,2.763391790100525,0.0,5.597297158419403,34.0,12.42,1089.6300292893475,false,false,true,4.21,-14.7599999999,-48.4199999999,4.0,Niquelândia,10,2.0,12.0,1.0,1,21.363437438340725,Goiás,"{""type"":""Polygon"",""coordinates"":[[[-48.42000047714328,-14.759549108096767],[-48.42013044067613,-14.759567015803702],[-48.420250059171785,-14.75961931347946],[-48.42034981103927,-14.759701838251752],[-48.42042175603962,-14.759808021178555],[-48.42046016732586,-14.759929410126611],[-48.42046198730778,-14.760056342552557],[-48.420427071052345,-14.76017871463614],[-48.42035819783982,-14.760286785543993],[-48.42026084994983,-14.760371952804867],[-48.42014277628064,-14.76042743707472],[-48.420013375534964,-14.760448821781905],[-48.4198829480711,-14.760434404693694],[-48.419761875976086,-14.76038533341713],[-48.419659796632494,-14.760305514047385],[-48.419584835569175,-14.760201300235833],[-48.419542959665,-14.760080987430216],[-48.41953750219218,-14.759954152548133],[-48.41956889750325,-14.759830891648702],[-48.41963464647608,-14.759721016285495],[-48.41972951546129,-14.759633272511204],[-48.41984595289044,-14.759574644700084],[-48.41997469038003,-14.75954979960113],[-48.42000047714328,-14.759549108096767]]]}"
000000000000000000a8,0.3338801476749318,0.22122149808142738,0.057554268189595734,0.08700698144008394,0.124451455051824,0.2203331854257317,8.357599792767088,0.15538453313519984,-8.142018051327614,1.5383833341851605,-0.006039387985883154,0.27442934009890063,0.27442934009890063,-0.4319020285418402,GO_265,-22.378426749642262,-14.236408773018567,0.1,0.01,7.402113661440181,0.955486131326907,0.0,0.8076074123504955,21.0,11.266666666666666,327.07792207792215,false,false,true,6.833333333333333,-14.9399999999,-50.5799999999,15.0,Mozarlândia,3,9.0,12.0,1.0,1,1.5742123419239467,Goiás,"{""type"":""Polygon"",""coordinates"":[[[-50.57999794563457,-14.939549640321218],[-50.58012801746642,-14.939567548027684],[-50.58024773564129,-14.9396198457022],[-50.580347570634316,-14.939702370472851],[-50.58041957558985,-14.939808553398137],[-50.580458018888145,-14.93992994234526],[-50.58045984039014,-14.94005687477116],[-50.58042489504094,-14.940179246855594],[-50.58035596443596,-14.940287317764932],[-50.58025853542287,-14.940372485027456],[-50.58014036335742,-14.940427969298607],[-50.58001085477519,-14.940449354006347],[-50.579880318619075,-14.940434936917761],[-50.57975914562883,-14.940385865640021],[-50.57965698121892,-14.940306046268649],[-50.57958195768961,-14.940201832455545],[-50.57954004689179,-14.940081519648917],[-50.57953458487453,-14.939954684766699],[-50.579566006351236,-14.939831423868041],[-50.57963181011627,-14.939721548506268],[-50.579726758158344,-14.939633804733639],[-50.57984329261615,-14.939575176923878],[-50.57997213738316,-14.93955033182556],[-50.57999794563457,-14.939549640321218]]]}"
000000000000000000c3,0.23691666088335164,0.13195125456963042,0.03176804750675018,0.06002128725542831,0.06207358780607161,0.2716100627148138,26.988162012123464,0.3751867240643491,-5.912331167194747,0.8774363505756517,0.3525881084164825,0.6375172650615913,0.6375172650615913,-0.6414300390916086,GO_297,-15.273931698600254,-9.361600445592922,0.1,0.01,14.23101645691709,12.757145555206375,1.7313907556558765,5.735289591135278,26.0,14.825817412640514,657.0348843174472,false,false,true,6.481818181818181,-15.1199999999,-49.8599999999,16.465141332786132,Rubiataba,11,5.0,16.0,1.0,1,8.023134755591679,Goiás,"{""type"":""Polygon"",""coordinates"":[[[-49.86000027583782,-15.119550172545663],[-49.86013045743524,-15.119568080251664],[-49.86025027663916,-15.119620377924928],[-49.860350195883356,-15.119702902693941],[-49.86042226160595,-15.119809085617701],[-49.860460737349754,-15.119930474563896],[-49.86046256039237,-15.120057406989753],[-49.86042758555542,-15.120179779075034],[-49.86035859678079,-15.120287849985857],[-49.860261085546064,-15.120373017250033],[-49.86014281375195,-15.1204285015225],[-49.860013195872924,-15.120449886230785],[-49.85988254955274,-15.120435469141828],[-49.859761274301036,-15.120386397862902],[-49.85965902367287,-15.1203065784899],[-49.85958393683169,-15.120202364675238],[-49.859541990667694,-15.120082051867614],[-49.8595365240444,-15.119955216985256],[-49.85956797204105,-15.119831956087367],[-49.85963383134022,-15.119722080727035],[-49.85972885950971,-15.119634336956064],[-49.859845492310086,-15.119575709147664],[-49.85997444580726,-15.119550864049986],[-49.86000027583782,-15.119550172545663]]]}"
0000000000000000013f,0.20144708046616328,0.10172001937177327,0.02383088929383089,0.05488268340107346,0.04974545690319779,0.28074849873353735,24.228660696314652,0.41173313192931554,-7.251466008278294,0.7185689453192471,0.4679134939848802,0.6996623022220054,0.6996623022220054,-0.6750506200430666,GO_430,-20.88777819079466,-13.636312216275392,0.1,0.01,1.364765995511556,22.863894700803097,0.0,0.12674187126741873,31.0,20.215416437924436,711.7404420397123,false,false,true,9.308333333333334,-16.0199999999,-49.1399999999,15.0,Pirenópolis,12,1.0,13.0,1.0,1,2.124255356741903,Goiás,"{""type"":""Polygon"",""coordinates"":[[[-49.13999814694002,-16.019548374566863],[-49.140128899569945,-16.019566282270528],[-49.140249244356326,-16.01961857993753],[-49.14034960189945,-16.019701104698285],[-49.14042198374949,-16.019807287614384],[-49.14046062828381,-16.019928676555903],[-49.14046245934069,-16.020055608981533],[-49.140427331099495,-16.020177981071097],[-49.14035803970937,-16.02028605198938],[-49.14026010073418,-16.02037121926187],[-49.14014131012317,-16.0204267035409],[-49.14001112365134,-16.020448088251964],[-49.1398799042265,-16.02043367116112],[-49.139758096981616,-16.02038459987623],[-49.139655397821436,-16.02030478049507],[-49.13957998161348,-16.020200566672575],[-49.13953785146403,-16.0200802538599],[-49.1395323608784,-16.019953418976844],[-49.13956394683891,-16.019830158082836],[-49.13963009504242,-16.01972028272975],[-49.13972554005775,-16.019632538967123],[-49.139842684464774,-16.019573911165562],[-49.13997220360797,-16.019549066071097],[-49.13999814694002,-16.019548374566863]]]}"
0000000000000000019f,0.3516194934889785,0.2216081436974221,0.05266293620329719,0.0789790659204243,0.10501920760722523,0.2538836466310774,24.21297703231387,0.25014231438893547,-5.797790417963095,1.3856207433133252,0.06805948369159578,0.41544110054197064,0.41544110054197064,-0.5258683413289845,GO_553,-20.464998499972282,-14.667208153286467,0.1,0.01,2.514600929834865,21.698376102479003,0.0,0.12156464312928625,19.0,20.15299489546874,479.41209042418075,false,false,true,7.652941176470588,-16.9199999999,-52.9199999999,15.0,Santa Rita do Araguaia,17,3.0,20.0,1.0,1,3.471199084185149,Goiás,"{""type"":""Polygon"",""coordinates"":[[[-52.92000040545136,-16.919551035689107],[-52.920131766702646,-16.91956894339042],[-52.92025267166838,-16.91962124105109],[-52.920353496361464,-16.919703765803522],[-52.92042621514763,-16.919809948711894],[-52.92046503958237,-16.9199313376487],[-52.92046687918022,-16.92005827007409],[-52.92043158743627,-16.920180642167978],[-52.92036197351071,-16.92028871309379],[-52.920263578639215,-16.920373880374665],[-52.920144235060846,-16.920429364660325],[-52.92001344256951,-16.920450749374183],[-52.91988161231634,-16.92043633228144],[-52.91975923806054,-16.92038726099054],[-52.919656060844034,-16.920307441601135],[-52.919580293588524,-16.92020322777074],[-52.919537967342166,-16.920082914952967],[-52.91953245121606,-16.919956080069213],[-52.919564184221144,-16.919832819179124],[-52.91963064034562,-16.91972294383334],[-52.91972652964564,-16.919635200079135],[-52.919844219336134,-16.919576572284484],[-52.9199743413596,-16.919551727193248],[-52.92000040545136,-16.919551035689107]]]}"
000000000000000001ed,0.23960567373996247,0.1601791648524027,0.030537187188567284,0.058186134475476534,0.07175095184809213,0.21480115389469673,30.533720523607307,0.25251661830417554,-6.363483047948816,1.1162627321440062,0.14556132728030072,0.4991306395479166,0.4991306395479166,-0.5734976616220291,GO_657,-20.286733569193192,-13.9232503933572,0.1,0.01,18.551194724535264,11.982525799072043,0.0,4.576693327933581,39.048294016401734,14.87196089251392,931.6736357193481,false,false,true,7.988235294117648,-17.4599999999,-51.6599999999,35.99119165738584,Rio Verde,17,17.0,34.0,1.0,1,1.992290337914648,Goiás,"{""type"":""Polygon"",""coordinates"":[[[-51.66000113898127,-17.459548173261407],[-51.660132883786176,-17.4595660809613],[-51.66025414177725,-17.459618378618146],[-51.66035526086836,-17.45970090336554],[-51.66042819199157,-17.45980708626924],[-51.66046712979928,-17.459928475203192],[-51.66046897477927,-17.460055407628445],[-51.66043357999555,-17.460177779724944],[-51.66036376280794,-17.460285850655307],[-51.66026508063058,-17.460371017941256],[-51.66014538857233,-17.46042650223092],[-51.660014214167774,-17.460447886946472],[-51.65988199897087,-17.460433469852575],[-51.65975926738497,-17.46038439855805],[-51.65965578889738,-17.460304579163658],[-51.65957980041153,-17.460200365328483],[-51.65953735058457,-17.460080052507628],[-51.65953181836248,-17.459953217623454],[-51.65956364403477,-17.459829956735728],[-51.6596302942109,-17.459720081394366],[-51.659726463499176,-17.45963233764525],[-51.65984449682762,-17.459573709854773],[-51.65997499878665,-17.45954886476549],[-51.66000113898127,-17.459548173261407]]]}"
00000000000000000230,0.25374147083948345,0.150022331810604,0.04104667943919705,0.0700155899821328,0.07976121670799914,0.2823716170421772,11.79257177771116,0.35487723184321374,-5.9489844557590885,0.9062672485565935,0.31832603961560224,0.5782425905258874,0.5782425905258874,-0.6086184308812754,GO_750,-17.027753690327046,-11.078769238189837,0.1,0.01,5.512820355712958,6.279751421998202,2.029019884929847,6.764257595639448,41.071060866054296,17.69056146485406,792.876249116786,false,false,true,6.942857142857143,-17.9999999999,-52.1999999999,17.661754315130715,Serranópolis,7,3.0,10.0,1.0,1,10.279169877819422,Goiás,"{""type"":""Polygon"",""coordinates"":[[[-52.19999827655356,-17.99954976993475],[-52.20013041893372,-17.99956767763321],[-52.200252042855666,-17.99961997528621],[-52.20035346710701,-17.999702500028537],[-52.20042661832946,-17.999808682927537],[-52.20046567365442,-17.999930071858618],[-52.20046752421307,-18.00005700428373],[-52.20043202262257,-18.00017937638286],[-52.20036199474225,-18.000287447317806],[-52.20026301475616,-18.00037261460885],[-52.20014296147899,-18.000428098902546],[-52.200011391200036,-18.000449483619803],[-52.19987877698746,-18.000435066524748],[-52.19975567500892,-18.000385995226566],[-52.19965188423688,-18.000306175827163],[-52.19957566643319,-18.000201961987184],[-52.199533088507756,-18.00008164916322],[-52.19952753960102,-17.999954814278624],[-52.19955946132784,-17.999831553393282],[-52.19962631264934,-17.99972167805636],[-52.199722772161294,-17.999633934312367],[-52.199841161690024,-17.99957530652609],[-52.199972057473985,-17.99955046143878],[-52.19999827655356,-17.99954976993475]]]}"
00000000000000000018,0.12705213953349445,0.05887943264721377,0.012682222769174932,0.03033987616768559,0.01725996398379475,0.24220800326619343,61.54611907037261,0.44814489502430965,-6.900741783572942,0.5345037084608856,0.604318754795349,0.8678921204703934,0.8678921204703934,-0.7795012611590321,GO_116_R663,-19.425274379625954,-12.524532561624344,0.1,0.02,3.945696257920161,57.60042281245245,10.473027333677155,6.846209386281591,34.0,17.67790857242677,1125.7662197008767,false,false,true,8.114583333333334,-14.00625,-47.638125,3.0,Cavalcante,48,10.0,58.0,2.0,1,28.80498981485667,Goiás,"{""type"":""Polygon"",""coordinates"":[[[-47.63812386202786,-14.00580050242649],[-47.638253387861255,-14.005818410135353],[-47.638372603494936,-14.00587070781631],[-47.63847201940344,-14.005953232595434],[-47.63854372208956,-14.006059415528584],[-47.63858200399594,-14.00618080448051],[-47.63858381783397,-14.00630773690665],[-47.63854901916316,-14.006430108986681],[-47.63848037790707,-14.006538179888356],[-47.63838335788318,-14.006623347142344],[-47.63826568189127,-14.006678831406754],[-47.63813671697674,-14.006700216111643],[-47.638006728802445,-14.006685799024996],[-47.63788606448448,-14.006636727753367],[-47.63778432894395,-14.006556908390385],[-47.63770962034221,-14.00645269458532],[-47.63766788546343,-14.006332381783889],[-47.637662446357,-14.006205546902377],[-47.63769373591699,-14.006082285999739],[-47.637759263442206,-14.005972410630527],[-47.637853812912255,-14.005884666849328],[-47.63796985819193,-14.005826039032536],[-47.6380981621108,-14.005801193930928],[-47.63812386202786,-14.00580050242649]]]}"
0000000000000000001e,0.2126239581376051,0.1295323807584119,0.02947555085978323,0.05032688494243269,0.04403322680077981,0.22852148141547973,7.449139522520049,0.3622829358892313,-6.504670164756002,0.9619378521811626,0.28186758560585257,0.6717680780361898,0.6717680780361898,-0.6338663102488097,GO_117_R102,-20.04013140803551,-13.535461284051438,0.1,0.02,0.513365356598117,6.935774165921933,7.531915991537232,5.292171938696527,32.0,14.121179441470403,987.7698023633832,false,false,true,5.588235294117647,-13.876875,-47.4975,9.87331647659838,Cavalcante,17,2.0,19.0,2.0,1,31.48556896097318,Goiás,"{""type"":""Polygon"",""coordinates"":[[[-47.497501651206385,-13.876424144461806],[-47.497631104457,-13.876442052170999],[-47.49775025328492,-13.876494349852845],[-47.49784961348201,-13.87657687463314],[-47.497921275985625,-13.876683057567371],[-47.49795953643716,-13.876804446519959],[-47.49796134925628,-13.876931378946134],[-47.49792657008424,-13.877053751025555],[-47.497857967293,-13.877161821926176],[-47.49776100163851,-13.877246989178987],[-47.49764339159267,-13.877302473442468],[-47.497514498951226,-13.877323858146964],[-47.497384583623514,-13.877309441060582],[-47.49726398692646,-13.877260369789798],[-47.497162308398124,-13.877180550427973],[-47.49708764166157,-13.877076336624015],[-47.497045930168696,-13.876956023823297],[-47.49704049410786,-13.876829188941885],[-47.49707176613131,-13.876705928038698],[-47.49713725693428,-13.876596052668464],[-47.49723175341975,-13.876508308886079],[-47.4973477336701,-13.87644968106832],[-47.49747596569085,-13.876424835966258],[-47.497501651206385,-13.876424144461806]]]}"
00000000000000000021,0.20156521237399966,0.12088245091957618,0.03094758140276626,0.05126605431264455,0.04815634291926219,0.22846106667281418,15.048798035682431,0.35075192957327195,-6.383664937496704,0.8835510494318936,0.30818171089090907,0.6517552362850242,0.6517552362850242,-0.6333938978115821,GO_118,-19.081815328169167,-12.698150361844117,0.1,0.02,5.002592684427984,10.046205351254446,0.6729309721720277,2.9812070834839175,38.95993598017451,13.58999937568667,1279.2330011874647,false,false,true,5.856,-13.8599999999,-47.3399999999,22.29211626826372,Cavalcante,25,12.0,37.0,2.0,1,28.84884940553163,Goiás,"{""type"":""Polygon"",""coordinates"":[[[-47.34000174289764,-13.85955090607557],[-47.340131186736656,-13.859568813784806],[-47.340250326902066,-13.859621111466765],[-47.34034967987523,-13.859703636247215],[-47.34042133716848,-13.859809819181587],[-47.34045959483803,-13.85993120813426],[-47.340461407525034,-13.86005814056044],[-47.340426630881346,-13.860180512639785],[-47.34035803307773,-13.860288583540264],[-47.34026107447315,-13.860373750792924],[-47.340143472978355,-13.860429235056282],[-47.34001458970835,-13.860450619760726],[-47.33988468382643,-13.86043620267438],[-47.33976409589759,-13.860387131403707],[-47.33966242476187,-13.860307312042032],[-47.33958776345384,-13.860203098238221],[-47.339546054993356,-13.860082785437593],[-47.33954061932742,-13.859955950556195],[-47.33957188907696,-13.859832689652935],[-47.33963737511826,-13.859722814282565],[-47.33973186473338,-13.85963507050003],[-47.33984783655156,-13.859576442682146],[-47.3399760592495,-13.859551597580023],[-47.34000174289764,-13.85955090607557]]]}"
0000000000000000004a,0.30542878981433563,0.21129791968098297,0.048436614878166195,0.0811874135005284,0.11962349017682536,0.26563877420232884,50.562608342061516,0.22582536390008812,-5.398106692464623,1.1500276862088394,0.11565183371184139,0.38076169079331446,0.38076169079331446,-0.5329233322587806,GO_162,-21.624662431628263,-16.226555798430425,0.1,0.02,1.742898598322643,48.81970974373887,0.02932082860970833,2.4613521591260428,29.01432546635059,19.180981762366184,507.02494073997707,false,false,true,8.659375,-14.2199999999,-48.9599999999,33.041430485416875,Uruaçu,32,5.0,37.0,2.0,1,2.3695846312773123,Goiás,"{""type"":""Polygon"",""coordinates"":[[[-48.96000207381662,-14.219551970524472],[-48.96013172119689,-14.21956987823279],[-48.960251048703256,-14.219622175912273],[-48.96035055790587,-14.219704700689467],[-48.96042232788145,-14.219810883620822],[-48.96046064571603,-14.219932272571652],[-48.96046246126025,-14.220059204997737],[-48.96042762993684,-14.220181577078773],[-48.96035892426764,-14.220289647982197],[-48.96026181319698,-14.220374815238133],[-48.960144026772056,-14.22043029950408],[-48.96001494082936,-14.22045168420962],[-48.959884830666496,-14.220437267122529],[-48.95976405311087,-14.220388195849507],[-48.95966222209795,-14.22030837648461],[-48.95958744338892,-14.220204162677714],[-48.95954566934815,-14.220083849875094],[-48.959540225141524,-14.219957014993419],[-48.95957154406812,-14.219833754091688],[-48.95963713308825,-14.219723878724174],[-48.959731771286044,-14.219636134944928],[-48.95984792546362,-14.219577507129747],[-48.959976349782835,-14.219552662028889],[-48.96000207381662,-14.219551970524472]]]}"
0000000000000000005f,0.3198674779830016,0.200324085942276,0.06736325208963868,0.09678895856720876,0.12257043276811111,0.2939996075297601,77.59695182782998,0.2844305931931204,-7.038263577983414,1.0924526769465557,0.20082617830173494,0.43376643310172097,0.43376643310172097,-0.5179874457661684,GO_189,-18.770016996283815,-11.731753446453602,0.1,0.02,7.275833229768705,70.32111859806128,0.7623410717043291,4.074483965614867,28.0,16.564422858518803,540.4804138570031,false,false,true,9.618461538461538,-14.3999999999,-49.1399999999,33.264014001132445,Uruaçu,65,13.0,78.0,2.0,1,5.041801550890651,Goiás,"{""type"":""Polygon"",""coordinates"":[[[-49.139998146940016,-14.399548043647863],[-49.14012789825146,-14.399565951355719],[-49.140247321416894,-14.399618249033967],[-49.140346910392545,-14.399700773809531],[-49.14041873790535,-14.399806956739369],[-49.14045708646102,-14.399928345689279],[-49.1404589034641,-14.400055278115314],[-49.14042404422038,-14.400177650197199],[-49.14035528347343,-14.400285721102096],[-49.14025809455138,-14.400370888359673],[-49.140140213698466,-14.400426372626923],[-49.1400110242682,-14.400447757333007],[-49.13988080979655,-14.400433340245545],[-49.13975993541476,-14.400384268971344],[-49.13965802276623,-14.400304449604835],[-49.13958318411052,-14.400200235796389],[-49.139541376583466,-14.400079922992772],[-49.13953592801578,-14.39995308811096],[-49.13956727205284,-14.399829827209999],[-49.13963291365544,-14.399719951843917],[-49.139727627721705,-14.39963220806632],[-49.139843875014684,-14.399573580252488],[-49.139972402284705,-14.399548735152266],[-49.139998146940016,-14.399548043647863]]]}"
