fold,repeat,chosen,inner_r2,inner_rmse,r2,rmse,mae,bias,slope,intercept
1,1,Genetic_Algorithm_k6,0.5385533800949049,21.696073189296605,0.7521174181522117,22.561494827599805,16.912482921709618,0.26133342511669694,0.6797516622655903,16.213874270536472
2,1,Genetic_Algorithm_k6,0.579721836125825,24.60047241053486,0.5175676543439526,16.362499954944774,11.797246623257482,-0.15665787191936711,0.6407223917249477,11.490075894630024
3,1,Exact_Enumerated_QUBO_k7,0.6450835637820993,21.388126490535097,0.5037964414928608,26.35076817045492,19.649535294371244,-3.670155648370817,0.476003572183194,19.441486219369388
4,1,QAOA_Simulado_k6,0.5861830079053224,23.48019331484616,0.5678984669179732,22.229085434534177,17.787075101896757,-2.4637316445927793,0.626486025524781,16.665404720002364
5,1,Genetic_Algorithm_k6,0.6581249002107692,22.051585295155387,0.47002444515561803,20.664079289526814,16.19930831479114,3.9283127039999237,0.686492565105928,16.887149380455345
6,2,Exact_Enumerated_QUBO_k7,0.5404566231821833,21.651284078424084,0.7233517410724793,23.83465313044932,16.602486726531566,-0.7595581582672878,0.6775170453105468,15.304295734087844
7,2,QAOA_Simulado_k6,0.5814272035246626,24.55051087083428,0.5621914889768544,15.587395295981644,11.40276906954995,-0.17928758744206674,0.7068289336828084,9.324464605312734
8,2,QAOA_Simulado_k6,0.6391164999586312,21.56717195251761,0.49321446139831016,26.63026264229011,19.736207592760547,-3.2427206528424146,0.46833758675306814,20.207040905069285
9,2,QAOA_Simulado_k6,0.594045025756046,23.25607621285251,0.574720837491856,22.052901791442135,17.70756942867193,-1.844439940999947,0.6541450287447564,15.868168849099348
10,2,Genetic_Algorithm_k6,0.6545633547209858,22.166150874119698,0.47136585063270764,20.637911600522344,15.909363546801572,4.007111610951874,0.7134705548393725,15.850812491878475
11,3,QAOA_Simulado_k6,0.5165275003883348,22.2078385089911,0.7629975871639754,22.060799573300287,16.709968102862614,1.6198317972592304,0.7157345244788218,15.779957158956073
12,3,Genetic_Algorithm_k6,0.5842191088557237,24.468497202595525,0.4972800719364807,16.70300072015885,12.084377918621984,-0.3492321618977473,0.6357871894149888,11.45748649116912
13,3,Genetic_Algorithm_k6,0.6454459165363343,21.37720557385148,0.48379213984582703,26.876681792844174,19.713215193119602,-3.274836961057608,0.46511970956633253,20.316853856608898
14,3,QAOA_Simulado_k6,0.6094079263464744,22.811782455344407,0.5714008643978831,22.138813249626715,17.41649275324071,-2.2740129915870706,0.6339609674341635,16.472301864648436
15,3,Genetic_Algorithm_k6,0.6578776679109791,22.059557327713517,0.48480052605370505,20.373978613241494,16.06611173184677,3.735419189131366,0.7070804755361506,15.843254137781194
16,4,Genetic_Algorithm_k6,0.5170823329863148,22.195092003399928,0.7525190066181059,22.543211758552683,16.77541287477457,0.03257087379292013,0.682363734422869,15.85499648403313
17,4,Genetic_Algorithm_k6,0.5936091310926257,24.190620292785944,0.5253592154772015,16.229830186801312,11.81171301602985,-0.393426370584131,0.6611178158215631,10.592147142617964
18,4,QAOA_Simulado_k6,0.6447990297775071,21.39669812802962,0.4888971054770055,26.74345499460299,19.925418130339388,-3.7770627113113395,0.46152852732183874,19.97302254095528
19,4,Genetic_Algorithm_k6,0.6043507921886204,22.95898364167139,0.5535866743402127,22.59421548741182,18.010930811957383,-3.0722451488982445,0.614122841290046,16.690059057567165
20,4,Genetic_Algorithm_k6,0.6590672559969992,22.021172464924437,0.4860123160122024,20.350003901837052,16.131148656163834,3.6833804029468618,0.6921143062359731,16.40984228686768
21,5,Exact_Enumerated_QUBO_k7,0.5266084481109828,21.97508958932967,0.739681299611457,23.120517417280276,16.20065722020149,-0.5807900807305215,0.6773911758384787,15.489333751723471
22,5,QAOA_Simulado_k6,0.5826465138734258,24.514726744257995,0.5071608170534181,16.53804097775761,11.950049964242295,-0.4289258481569353,0.6348557841572066,11.40798625091464
23,5,QAOA_Simulado_k6,0.6459100519681413,21.363208883012838,0.5426271134476234,25.298720137941437,19.225236210099993,-3.6633533356035377,0.49235393501102137,18.727131459255872
24,5,QAOA_Simulado_k6,0.5875294497940435,23.44196328240803,0.6132657987559427,21.029792228800652,16.955517877073454,-2.5113998480038573,0.6448440389860073,15.677549624317002
25,5,Genetic_Algorithm_k6,0.6716290646793697,21.611675415037222,0.47836311087978556,20.500869854207973,16.087753460338714,3.8282073692401393,0.6764909043354732,17.200462912337194
